Name,Hours,Location,isFeatured,isNew,Description,Logo,Category
ACCESS,All week days - 11am to 10pm.,High Street Unit,,,"For computer, laptops and cell phone products, Access has some unusual merchandise and accessories including international brands .",,Womens Fashion
Accessorize,All week days - 11am to 10pm.,"Palladium Level 3 , Grand Galleria",,,"U.K. based brand, provides great accessories options, pick a whole range to match your outfit and style.",,"Watches, Jewellery , Fashion Accessories"
Accessorize Gold,,,,,,,
Adidas,All week days - 11am to 10pm.,SkyZone Ground Level,,,One of the most respected sports brand - Adidas offers a wide range of sports footwear for key games such as soccer and cricket. Plus walking and running pairs are also displayed. The brand has also including fitness equipment and accessories and apparel. One of the most respected sports brand - Adidas offers a wide range of sports footwear for key games such as soccer and cricket. Plus walking and running pairs are also displayed. The brand has also including fitness equipment and accessories and apparel.,,"Watches, Jewellery , Fashion Accessories"
Aftershock London,All week days - 11am to 10pm.,Palladium Third Level,,,"“Glamour with a touch of elegance -Payce Business Solutions Pvt. Ltd proudly introduces an aspirational fashion brand ""AFTERSHOCK LONDON in India. Firmly established in the fashion market as a brand delivering the concept of ""affordable glamour"" and ""affordable luxury"" to its very esteemed customers. We are enthused with the opening of our flagship “AFTERSHOCK LONDON store in Mumbai at the Palladium early this November,says Manoj Jain, director of Payce Business Solutions Pvt Ltd - India. The new store has a clean, unique, modern feel and offers a curated selection of apparel, shoes, jewelery and handbags for todays women!! Currently having over 150 stores , concessions around the world and adding another 110 stores globally over the next few years makes the brand an international success story. Being one of the youngest , most dynamic British brands to receive an award by Her Majesty, Queen Elizabeth II of Great Britain for excellence in bringing British fashion to many countries, India being the next. Celebrity followers include Madonna, Uma Thurman, Paris Hilton to name but a few. Our fashion Signature is the use of exuberant colour schemes and beautiful design Work. Soft, feminine, vintage inspired pieces contrast against sharp, clean modern shapes that emphasizes the art of dressing up and there is a 90s influence of voluminous blouses and pleated trousers partnered with ethereal and luxe knitwear. Textures are contrasted and colours range from muted pastels to sophisticated dusky midnight shades. Shapes, on the other hand, are timeless and range from tailored and feminine with A-lines and dropped waists over straight cigarette pants to slightly oversized pieces. Evening wear takes an inspiration from the world of glitter , glamour boasting of signature fringing and tassel style dresses, precious embellishment and beadwork. Sequins, floor length gowns in dusky pink and blue hues are contrasted with darker jacquards in magenta and petrol blues. Our range is highlighted with absolutely stunning clutches and dazzling gold chains. Not to mention how intricately crafted jewellery, classy bags, stylish shoes, scarves, belts , beautiful hair accessories complement the overall look. “Our store brings the brand to life in a new and exciting way taking fashion to another level with an edited assortment of trends, inspiring head-to toe looks and in-store associates to help our fashion-focused customers find styles , colors well suited to them. You have to see it to believe it says Brand manager Amrita Mehta for AFTERSHOCK LONDON India. ""Let your wardrobe blossom!""",,Womens Fashion
Aldo,All week days - 11am to 10pm.,Courtyard,,,"ALDO India provides an unparalleled selection of the latest footwear and accessories for both men and women, with on-trend styles at a fair price. ALDO has also introduced their Accessories collection. Customers can enjoy the same quality and affordability in accessories as they have come to expect in footwear. Every season ALDO Accessories reveals a new selection of merchandise that is fresh, on-trend and reflective of what is hot on the global fashion scene. This unique retail concept has quickly become a top destination for all the must-haves in accessories and handbags.",,"Foot Fashion, Bags, Luggage , Accessories"
Allen Solly (Kids),All week days - 11am to 10pm.,Grand Galleria Ground Level,,,"Love to effortlessly look good anytime,anywhere? Say hello to Allen Sollys new womenswear collection. Now Seamlessly glide from am to pm with impeccable style as you strike the perfect balance between comfort , elegant. A meeting at noon,a quiet lunch for two, or a fun night out with the girls....No matter where you are or what the occasion is, your casually chic style will be a forever trender.",,Kids Fashion
Allen Solly (Women),,,,,,,Womens Fashion
AM PM,All week days - 11am to 10pm.,Palladium - Third Floor,,,,,Designer Wear
"Amber , Shirin",All week days - 11am to 10pm.,Palladium,,,"In the discerning world of creative Indian fashion design, Amber and Shirin are two designers who have it all. Almost 20 years of combined experience, loads of creativity, a strong in-house design team and skilled professionals. Ensuring that every ensemble that is created from their studio is exquisite in cut, color and design.While their forte lies in wedding trousseaus and personalized wardrobes, their ready-to-wear ensembles are highly appreciated and are now retailing from several hi profile fashion studios in India, Dubai, New York and London. Catering to men and womens wear, an Amber and Shirin branded ensemble is now something that discerning clients would look forward to having in their wardrobes. Their designs are exclusive and rarely duplicated.",,Designer Wear
And,All week days - 11am to 10pm.,,,,,,Womens Fashion
Anita Dongre,All week days - 11am to 10pm.,Palladium First Level,,,"ANITA DONGRE TIMELESS delves into the heritage of Indian textiles and puts together traditional weaves and silks from master weavers all over the country to create styles that are classic, feminine, and eternal, and can be handed down from one generation to the next. A collection that embodies the beauty of hand crafted embroideries and fabrics. This label brings together couture sensibilities and timeless style. Aptly called ANITA DONGRE TIMELESS, this eternal occasion wear is a fashion statement that adds elegance and grace to your wardrobe.",,Designer Wear
Anita Dongre(Bridal),All week days - 11am to 10pm.,SkyZone Ground Level,,,"ANITA DONGRE TIMELESS delves into the heritage of Indian textiles and puts together traditional weaves and silks from master weavers all over the country to create styles that are classic, feminine, and eternal, and can be handed down from one generation to the next. A collection that embodies the beauty of hand crafted embroideries and fabrics. This label brings together couture sensibilities and timeless style. Aptly called ANITA DONGRE TIMELESS, this eternal occasion wear is a fashion statement that adds elegance and grace to your wardrobe.",,Designer Wear
Aptronix,All week days - 11am to 10pm.,Skyzone Ground Level,,,Aptronix,,"Electronics, Gizmos , Gadgets"
AROMA THAI Foot Spa,All week days - 11am to 10pm.,Palladium Third Level,,,"AromaThai Foot Spa now at High Street Phoenix: Getting a foot massage is no longer synonymous with Thailand. Here in Mumbai we strive to bring a Thai way of life for the tired feet of the locals. The foot has nerve endings from every organ in your body and when accurate pressure is applied, it provides relief to the rest of the body. AromaThai has professionally trained reflexology therapists certified by the Thai Ministry to tend to you in a relaxing atmosphere. Here in a surrounding of dark wood, soft lighting and beige recliners you will feel your worries slip away as our professionals knead your legs and feet with special aromatherapy oils. Our treatments have been specifically designed to energize your body and soul, providing you with a total experience that will leave you relaxed, revitalized, and replenished.",,"Cosmetics, Salon, Spas , Optics"
Ayesha,All week days - 11am to 10pm.,Grand Galleria,,,Ayesha is a must-visit for the fun and fantabulous fashion essentials available to all! Ayesha is your one-stop-candy shop for fantabulous fashion essentials.,,"Watches, Jewellery , Fashion Accessories"
Bally,All week days - 11am to 10pm.,Palladium Ground Level,,,"Bally heralds its 160th year anniversary with a celebratory range of shoes and bags for men and women. These eye-catching creations speak of the heritage and craftsmanship of Bally, with a hint of contemporary wit.",,"Foot Fashion, Bags, Luggage , Accessories"
Basecamp Traveller,All week days - 11am to 10pm.,Grand Galleria,,,"Basecamp is a unique concept in India that houses over 600 options designed bearing in mind the various needs and desires of the traveller. It is the ultimate one stop travel lifestyle destination that provides a range of products to make travel convenient and easy for the adventurous, leisure and business traveler. The store has a blend of various products like overnight office bags, laptop bags and trolley bags for the business traveller and even high utility one for the adventure and leisure traveler - camping gear, backpack bags, torchlights, camp stoves, portable water filters for the backpack / adventurous camping traveler. Basecamp houses brands from internationally reputed companies known for their travel and accessories gear. The brand products are from companies like Victorinox Travel Gear ( Switzerland), Victorinox Pocket Tools (Switzerland), Maglite Flash Lights ( USA), Design Go- Travel Accessories ( UK), Crossings Travel and Outdoor Gear ( Singapore), Katadyn Water Purifying Bottles (Switzerland), Laken Water Bottles(Spain), Optimus- Traveling Cooking Systems(USA) to name a few. Now traveller can have a choice of products to cater to his /her needs and requirements.",,"Foot Fashion, Bags, Luggage , Accessories"
BATA,All week days - 11am to 10pm.,Grand Galleria,,,We will provide updated information soon,,"Foot Fashion, Bags, Luggage , Accessories"
BEING HUMAN,All week days - 11am to 10pm.,Palladium Third Level,,,"Being Human Clothing - A Clothing line with a heart, provides for a world-class fashionable product coupled with the satisfaction of doing good. The Brand strive to bring to its consumers the best of international fast fashion in India.",,General Fashion
Bhandare Eyecare,All week days - 11am to 10pm.,High Street Units,,,"Bhandare Opticians, started 75 years ago is one of Indias fastest growing optical retail chains. The family owned business is managed by Mr. Ajoy Bhandare the third generation family member and now plans to corporotise in order to facilitate fast growth to cash in on the Indian retail revolution. The Company is Mumbai based and for the last 70 years was one of the citys most prominent Opticians. It deals in eye testing, spectacles prescription, contact lenses fitting and designer eyewear frames and sunglasses. It was the pioneer of contact lenses fitting in India in 1956.It has been renowned for its accuracy in spectacle dispensing.",,"Cosmetics, Salon, Spas , Optics"
Biba,All week days - 11am to 10pm.,Grand Galleria,,,"The Word BIBA in Punjabi is an endearment for a young and pretty girl implying sublime qualities, so it was the name decided by Meena Bindra, the founder of BIBA for her line of Salwar, Kameez and Dupattas started in 1986. It was a line which was fashionable and affordable which is what BIBA stands for Fashion at affordable prices. New ranges were added with time and BIBA started a very stylish Mix-n-Match range which was added as a second category. The Mix-n-Match in BIBA is very contemporary in feel and look, while the Salwar Kameez are very ethnic with focus on Indian crafted look, hand block prints and vegetable dyes, Indian handlooms with Traditional embroideries and other Indian Techniques and sensibilities applied in the making of the Garment.",,Womens Fashion
Big Bazaar,All week days - 11am to 10pm.,courtyard,,,"Big Bazaar is designed as an agglomeration of bazaars or Indian markets with clusters offering a wide range of merchandise including fashion and apparels, food products, general merchandise, furniture, electronics, books, fast food and leisure and entertainment sections. Food Bazaar, a supermarket format was incorporated within Big Bazaar in 2002 and is now present within every Big Bazaar as well as in independent locations.",,"Hypermarkets, Supermarket , Gourmet"
Black Berrys,All week days - 11am to 10pm.,Skyzone Ground Level,,,"For real sharp clothing, Black Berrys provides quality fits in formal wear for both men and women. One can also pick selected accessories to coordinate.",,Mens Fashion
Bombay Blue,All week days - 11am to 10pm.,Courtyard,,,"Bombay Blue, is a multi-cuisine restaurant which has a vastly diverse menu and has created a niche for life-style, full service and casual dining. Its diverse menu consisting of Indian, Italian, Mexican, Lebanese, Sizzlers, and Beverages- presents tempting choice for food lovers across all segments. Besides its signature Sizzling Brownies Channa Batura, Special Kids Menu and Value Meals were introduced as a pioneering concepts, as were unlimited refills of beverages.",,"Cafes, Restaurants , Desserts"
Bose Store,All week days - 11am to 10pm.,Grand Galleria,,,"+91-24961999 / 2999, manager.bbp@panindiafoods.com",,"Electronics, Gizmos , Gadgets"
Bottega Veneta,All week days - 11am to 10pm.,Palladium Ground floor,,,"""Discretion, quality, and craftsmanship Bottega Veneta has created a new standard of luxury since its founding in Vicenza in 1966. Steeped in the traditions of Italys master leather craftsmen and long celebrated for its extraordinary leather goods, Bottega Veneta has recently emerged as one of the worlds premier luxury brands. The companys famous motto, then your own initials are enough, expresses a philosophy of individuality and confidence that now applies to a range of products including womens and mes accessories, luggage, fine jewelry, and more. """,,"Foot Fashion, Bags, Luggage , Accessories"
Brooks Brothers,All week days - 11am to 10pm.,Palladium First Level,,,"As Americas oldest retailer, Brooks Brothers has long been a fashion innovator. Established in New York City in 1818, Brooks Brothers was the first to offer ready-to-wear clothing and has continued throughout history with iconic product introductions including: seersucker, madras, the non-iron shirt and the original button-down collar. Nearly two centuries later, Brooks Brothers is proud to uphold the same traditions and values and to be the destination for ladies and gentlemen from every generation. In recognition of the passion for personalization, the brand’s Made To Measure service offers a collection of finest fabrics, combined with its world famous make. Since its founding 196 years ago in New York, Brooks Brothers has become a legendary international brand while maintaining a steadfast commitment to exceptional service, quality, style and value.",,Mens Fashion
Burberry,All week days - 11am to 10pm.,Palladium Ground Level,,,"Burberry Group is a British luxury fashion house, manufacturing clothing, fragrance, and fashion accessories. Its distinctive tartan pattern has become one of its most widely copied trademarks. Burberry is most famous for its iconic trench coat, which was invented by founder Thomas Burberry. The company has branded stores and franchises around the world, and is now available at The Palladium.",,"Department Stores, Mini Department Store"
